Road Name,Division Name,Date Type,near_junction,near_bus_stop,near_highway,footpath_violation,both_sides_banned,immediate_tow_mention,near_landmark,zero_tolerance,description_length,Yard Name,narrow_road,residential_society,no_parking_explicit,meters_distance_mention,market_area,Towed
FC Road (Fergusson College Road) & JM Road (Jangli Maharaj Road):,Deccan Traffic Division,Odd,0,0,0,0,0,0,1,0,65,Deccan Traffic Yard,0,0,0,0,0,0
Goodluck Cafe Lane: The stretch from Goodluck Hotel to Suvarnasmruti Mangal Karyalaya has been declared a strict no-parking zone on both sides due to heavy resident complaints about double-parking and blocked gates.,Deccan Traffic Division,Even,0,0,0,0,1,0,0,1,215,Deccan Traffic Yard,1,0,1,0,0,1
akatdar Path Road (Deccan/Chaturshringi border): The 300-meter road from Chaitrali Co-Op Housing Society to Kshitij Bungalow is a no-parking zone on both sides.,Deccan Traffic Division,Both,0,0,0,0,1,0,0,0,160,Deccan Traffic Yard,0,1,1,0,0,0
"Near Junctions and Bus Stands: Parking within 8 meters of major intersections like Khanduji Baba Chowk, Goodluck Chowk, or near the Deccan PMPML Bus Depot/Riverbed area is illegal.",Deccan Traffic Division,Both,1,1,0,0,0,0,0,0,180,Deccan Traffic Yard,0,0,0,1,0,1
"The Riverbed Road: While parts are used for parking, parking haphazardly or leaving abandoned vehicles near the Kakasaheb Gadgil Bridge (Z-Bridge area) can result in nighttime sweeps by the traffic police.",Deccan Traffic Division,Both,0,0,0,0,0,0,0,0,205,Deccan Traffic Yard,0,0,0,0,0,0
Footpaths and Cycle Tracks: Any vehicle parked on or encroaching onto a pedestrian footpath or designated cycle track on FC/JM road will be towed immediately.,Deccan Traffic Division,Both,0,0,0,1,0,1,0,0,158,Deccan Traffic Yard,0,0,0,0,0,1
The District Court & PMC Metro Station Area: The entire periphery around the Pune District Court and the Pune Municipal Corporation (PMC) building is a zero-tolerance zone.,Shivajinagar Traffic Division,Odd,0,0,0,0,0,0,1,1,172,Shivajinagar Traffic Yard,0,0,0,0,0,1
Old Mumbai-Pune Highway Stretch (Wakdewadi): The stretch from (COEP) Tech University flyover down through Wakdewadi towards Khadki,Shivajinagar Traffic Division,Even,0,0,1,0,0,1,0,0,130,Shivajinagar Traffic Yard,0,0,0,0,0,1
Modern College Road: The lane leading from Jansanchar Chowk to Modern College faces severe bottlenecks due to students and shoppers.,Shivajinagar Traffic Division,Both,1,0,0,0,0,0,1,0,132,Shivajinagar Traffic Yard,1,0,0,0,0,0
Simla Office Chowk & University Road (Ganeshkhind Road): The areas surrounding the Simla Office (IMD Pune),Shivajinagar Traffic Division,Both,1,0,0,0,0,0,0,0,106,Shivajinagar Traffic Yard,0,0,0,0,0,0
Shivajinagar Railway Station & ST Bus Stand Periphery:,Shivajinagar Traffic Division,Both,0,1,0,0,0,0,1,0,54,Shivajinagar Traffic Yard,0,1,0,0,0,0
Shivaji Road (Core Stretches): Most of the central stretch of Shivaji Road enforces a strict No Parking and No Halting restriction to prevent bottlenecks.,Faraskhana Traffic Division,Odd,0,0,0,0,0,0,0,1,154,Faraskhana Traffic Yard,0,0,1,0,0,1
"P1/P2 two-wheeler parking is occasionally permitted on specific segments (e.g., portions between Maharashtra Tea Depot to Mumbai Tea Depot, and Rameshwar Chowk to Gotirambhaiyya Chowk),",Faraskhana Traffic Division,Even,1,0,0,0,0,0,0,0,185,Faraskhana Traffic Yard,0,0,0,0,0,0
Juna Bazaar Area: The entire stretch between Juna Bazaar Chowk and Kumbharve Chowk is a designated permanent No-Parking zone,Faraskhana Traffic Division,Both,1,0,0,0,0,0,0,1,124,Faraskhana Traffic Yard,0,0,1,0,1,1
"Dagdusheth Halwai Ganpati Temple Vicinity: Due to extremely high security protocols and massive pedestrian crowds, parking is strictly banned on the immediate roads surrounding the temple and the Faraskhana Police Station",Faraskhana Traffic Division,Both,0,0,0,0,0,0,1,1,221,Faraskhana Traffic Yard,0,0,0,0,0,1
"Laxmi Road Intersection Corners: No parking is allowed within 50 meters of major busy junctions such as Dulya Maruti Chowk and Hamjekhan Chowk to prevent bottlenecking,",Faraskhana Traffic Division,Both,1,0,0,0,0,0,0,0,168,Faraskhana Traffic Yard,0,0,1,1,0,0
"Bajirao Road (Core Stretch): From Puram Chowk all the way to Shaniwar Wada, parking is strictly prohibited on the main thoroughfare to keep the northbound traffic flowing.",Vishrambaug Traffic Division,Odd,1,0,0,0,0,0,0,1,171,Vishrambaug Traffic Yard,0,0,0,0,0,1
"Tilak Road (Specific Segments): No parking is allowed near major junctions, including Alka Talkies Chowk and the corners of S.P. College.",Vishrambaug Traffic Division,Even,1,0,0,0,0,0,1,0,137,Vishrambaug Traffic Yard,0,0,1,0,0,0
Appa Balwant Chowk (ABC) to Narayan Peth: The roads around ABC (famed for bookshops) are notorious bottlenecks. Parking four-wheelers is strictly banned,Vishrambaug Traffic Division,Both,1,0,0,0,0,0,0,1,152,Vishrambaug Traffic Yard,0,0,0,0,0,1
Kumthekar Road & Kelkar Road: These lanes are extremely narrow. Parking four-wheelers on either side of these roads is almost completely banned to avoid choking the lanes,Vishrambaug Traffic Division,Both,0,0,0,0,0,0,0,1,170,Vishrambaug Traffic Yard,1,0,0,0,0,1
"Parking is permanently banned within 50 meters of all major chowks - Alka Talkies Chowk, Tilak Chowk, Perugate Chowk, Shanipar Chowk",Vishrambaug Traffic Division,Both,1,0,0,0,0,0,0,1,132,Vishrambaug Traffic Yard,0,0,0,1,0,1
"Huzurpaga School, S.P. College, and N.M.V. High School are designated No Parking / No Halting zon",Vishrambaug Traffic Division,Both,0,0,0,0,0,0,1,0,97,Vishrambaug Traffic Yard,0,0,1,0,0,0
Frontage of Historical Wadas: Parking directly in front of the entry gates of heritage structures (like Vishrambaug Wada itself and Shaniwar Wada) is restricted for security and administrative movement,Vishrambaug Traffic Division,Both,0,0,0,0,0,0,0,1,201,Vishrambaug Traffic Yard,0,0,0,0,0,1
"Most secondary lanes inside Sadashiv Peth, Narayan Peth, and Shaniwar Peth operate on an Odd/Even (P1/P2) date system for two-wheelers.",Vishrambaug Traffic Division,Both,0,0,0,0,0,0,0,0,135,Vishrambaug Traffic Yard,1,0,0,0,0,0
"Swargate ST Stand Perimeter (Jedhe Chowk): Parking or waiting anywhere along the outer boundary walls, exit gates, and entry gates of the main MSRTC Bus Stand is strictly banned",Swargate Traffic Division,Odd,1,1,0,0,0,0,0,1,176,Swargate Traffic Yard,0,0,0,0,0,1
"Satara Road (Core Stretch): From Jedhe Chowk up to Voltas House / Laxmi Narayan Theatre Chowk, parking four-wheelers or two-wheelers on the main road is completely prohibited.",Swargate Traffic Division,Even,1,0,0,0,0,0,0,1,175,Swargate Traffic Yard,0,0,0,0,0,1
Shankar Sheth Road: The stretch leading from Swargate toward Seven Loves Chowk is a zero-tolerance zone.,Swargate Traffic Division,Both,1,0,0,0,0,1,0,1,104,Swargate Traffic Yard,0,0,0,0,0,1
Shivaji Road (Swargate Side): The beginning stretch from Swargate leading toward Saras Baug and Hirabaug must remain clear of parked vehicles on both sides of the main thoroughfare.,Swargate Traffic Division,Both,0,0,0,0,1,1,0,0,181,Swargate Traffic Yard,0,0,0,0,0,1
"Below and On the Swargate Flyovers / Grade Separator: Parking underneath the flyovers, inside the junctions, or anywhere near the entry/exit ramps of the grade separator is strictly illegal",Swargate Traffic Division,Both,1,0,0,0,0,0,0,1,189,Swargate Traffic Yard,0,0,0,0,0,1
"No vehicles are allowed to park within 50 meters of major Chowk - Jedhe Chowk (Swargate Junction), Mitra Mandal Chowk, Laxmi Narayan Chowk, Voltas Chowk",Swargate Traffic Division,Both,1,0,0,0,0,0,0,0,152,Swargate Traffic Yard,0,0,0,1,0,0
Saras Baug & Sanas Ground Perimeter: Parking directly on the main road outside the gates of Saras Baug or Peshwe Park is banned.,Swargate Traffic Division,Both,0,0,0,0,0,0,0,1,128,Swargate Traffic Yard,0,0,0,0,0,1
"Market Yard Main Gate & Outer Perimeter (Gultekdi Road): Parking or waiting anywhere along the outer walls, entry gates, and exit gates of the main APMC wholesale market is strictly banned",Market Yard (Gultekdi) Traffic Division,Odd,0,0,0,0,0,0,1,1,188,Market Yard (Gultekdi) Traffic Yard,0,0,0,0,1,1
"Chhatrapati Shivaji Market Yard Inner Connecting Roads: Parking commercial vehicles, tempos, or private cars on the internal thoroughfares (away from designated loading bays) is prohibited.",Market Yard (Gultekdi) Traffic Division,Even,0,0,0,0,0,0,1,1,189,Market Yard (Gultekdi) Traffic Yard,0,0,0,0,1,1
The Stretch between Maharashtra Warehousing Corporation Chowk and Utsav Chowk: This is a heavily monitored bottleneck corridor. Parking vehicles on the roadside along this entire stretch is permanently restricted,Market Yard (Gultekdi) Traffic Division,Both,1,0,0,0,0,0,0,1,212,Market Yard (Gultekdi) Traffic Yard,0,0,0,0,0,1
Flower Market (Phool Bazar) & Fruit Market Gate Perimeter: No unauthorized parking is permitted on the approach roads,Market Yard (Gultekdi) Traffic Division,Both,0,0,0,0,0,0,1,0,117,Market Yard (Gultekdi) Traffic Yard,0,0,0,0,1,0
"No vehicles are allowed to park within 50 meters of major Chowk - Utsav Chowk, Chhatrapati Shivaji Maharaj Putla Chowk (Market Yard), Aaiji Chogan Chowk, Gangadham Chowk (especially the heavy-traffic junctions leading toward Bibwewadi and Kondhwa)",Market Yard (Gultekdi) Traffic Division,Both,1,0,0,0,0,1,1,0,247,Market Yard (Gultekdi) Traffic Yard,0,0,0,1,1,1
Salisbury Park & Maharshi Nagar Connecting Roads: The primary avenues connecting Market Yard to Maharshi Nagar feature strict P1 / P2 (Odd / Even date) alternating parking rules for cars and two-wheelers.,Market Yard (Gultekdi) Traffic Division,Both,0,0,0,0,0,0,1,1,204,Market Yard (Gultekdi) Traffic Yard,0,1,0,0,1,1
"Pune-Satara Road (Border Stretch): On the main thoroughfare from Dhankawadi / Balaji Nagar up toward Laxmi Narayan Chowk, parking any private four-wheeler or two-wheeler on the roadside is strictly prohibited.",Sahakarnagar Traffic Division,Odd,1,0,0,0,0,1,0,1,209,Sahakarnagar Traffic Yard,0,1,0,0,0,1
Aranyeshwar Road: Parking is strictly prohibited around major choke points on Aranyeshwar Road,Sahakarnagar Traffic Division,Even,0,0,0,0,0,0,0,1,94,Sahakarnagar Traffic Yard,0,0,0,0,0,1
"Sahakarnagar Main Road (Near Commercial Clusters): The core avenue passing near popular local cafes, banks, and commercial establishments enforces strict temporary and permanent no-parking",Sahakarnagar Traffic Division,Both,0,0,0,0,0,0,0,1,188,Sahakarnagar Traffic Yard,0,1,1,0,0,1
"The P1 / P2 Alternating System: Much like the core city areas, many internal residential and commercial cross-lanes in Tulshibagwale Colony, Walvekar Nagar, and Padmadarshan Society operate on an Odd/Even date system (P1/P2).",Sahakarnagar Traffic Division,Both,0,0,0,0,0,0,0,0,225,Sahakarnagar Traffic Yard,1,1,0,0,0,0
"No vehicles are allowed to park within 50 meters of major Chowk - Chhatrapati Shahu Maharaj Chowk,Mitra Mandal Chowk (bordering Sahakarnagar and Parvati), Gajanan Maharaj Temple Chowk area road margins",Sahakarnagar Traffic Division,Both,1,0,0,0,0,0,1,0,201,Sahakarnagar Traffic Yard,0,1,0,1,0,0
"Taljai Hills Approach Roads: Parking on the direct approach curves and narrow entry pathways leading up to the Taljai Forest Reserve area is restricted,",Sahakarnagar Traffic Division,Both,0,0,0,0,0,0,0,1,152,Sahakarnagar Traffic Yard,1,0,0,0,0,1
School Perimeter Zones: Roads outside major academic institutions in the area have designated No Halting / No Parking,Sahakarnagar Traffic Division,Both,0,0,0,0,0,0,1,0,117,Sahakarnagar Traffic Yard,0,0,1,0,0,0
"Pune-Bangalore Highway (NH-48 Bypass / Service Roads): Parking of heavy goods trucks, tempos, or private vehicles on both the main lanes and the service roads along the bypass (especially near Navale Bridge, Katraj Ghat approach, and toward Punawale/Wakad) is strictly prohibited.",Katraj Traffic Division,Odd,0,0,1,0,0,1,0,1,280,Katraj Traffic Yard,1,0,0,0,0,1
Pune-Satara Road (Katraj Stretch): The main thoroughfare leading from Balaji Nagar/Dhankawadi up to Katraj Chowk is a dedicated mobility corridor where roadside parking of four-wheelers is permanently banned.,Katraj Traffic Division,Even,1,0,0,0,0,0,0,1,208,Katraj Traffic Yard,0,1,0,0,0,1
"Katraj-Kondhwa Road: Due to the narrow, heavily congested nature of this connecting link, parking on either side of the road from Katraj Chowk toward Gokul Nagar and Rajas Society is prohibited.",Katraj Traffic Division,Both,1,0,0,0,0,1,0,1,194,Katraj Traffic Yard,1,1,0,0,0,1
"Katraj Junction (Jedhe Chowk / Katraj Chowk Hub): The entire radius surrounding Katraj Chowk, the MSRTC Bus Stand entry/exit, and the PMPML bus depot is a strict No Halting / No Parking zone.",Katraj Traffic Division,Both,1,1,0,0,0,0,0,1,191,Katraj Traffic Yard,0,0,1,0,0,1
"Trimurti Chowk to Durgamata Temple: Located right behind the Bharati Vidyapeeth campus area (near Patang Plaza), this stretch is designated a permanent no-parking zone",Katraj Traffic Division,Both,1,0,0,0,0,0,1,1,167,Katraj Traffic Yard,0,0,1,0,0,1
"Rajiv Gandhi Zoological Park (Katraj Zoo) Perimeter: On weekends and holidays, parking directly on the main Satara road outside the zoo gates is strictly banned.",Katraj Traffic Division,Both,0,0,0,0,0,0,0,1,161,Katraj Traffic Yard,0,0,0,0,0,1
"No vehicles are allowed to park within 50 meters of major Chowk - Trimurti Chowk, Mahesh Society Chowk, and Dolphin Chowk.",Katraj Traffic Division,Both,1,0,0,0,0,0,0,0,122,Katraj Traffic Yard,0,1,0,1,0,0
Rajaram Bridge to Fun Time Multiplex Stretch: This is the most critical bottleneck on Sinhagad Road. Parking any private four-wheeler or two-wheeler on the main carriageway along this entire stretch is strictly banned,Sinhagad Road Traffic Division,Odd,0,0,0,0,0,0,0,1,217,Sinhagad Road Traffic Yard,0,0,0,0,0,1
Abhiruchi Mall & Multiplex Perimeter: Parking on the main Sinhagad Road or on the immediate approach lanes outside the entrance/exit gates of Abhiruchi Mall is entirely prohibited.,Sinhagad Road Traffic Division,Even,0,0,0,0,0,0,1,1,180,Sinhagad Road Traffic Yard,1,0,0,0,1,1
Dhayari Phata Junction: The intersection where Dhayari Road meets Sinhagad Road is highly prone to gridlock. Roadside parking or halting for passengers/loading within this immediate junction is banned,Sinhagad Road Traffic Division,Both,1,0,0,0,0,0,0,1,200,Sinhagad Road Traffic Yard,0,0,0,0,0,1
"No vehicles are allowed to park within 50 meters of major Chowk - Pu. La. Deshpande Udyan (Okayama Garden) Junction, Santosh Hall Chowk, Manikbaug Chowk, Vadgaon Phata / Katraj-Dehu Road Bypass Chowk (especially around the highway flyover entry/exit ramps where heavy vehicles merge)",Sinhagad Road Traffic Division,Both,1,0,1,0,0,0,0,0,283,Sinhagad Road Traffic Yard,0,0,0,1,0,0
Hingane Khurd and Anandnagar Internal Roads: Many of the busy internal lanes connecting to residential societies feature alternating P1 / P2 (Odd / Even date) parking layouts.,Sinhagad Road Traffic Division,Both,0,0,0,0,0,0,0,0,175,Sinhagad Road Traffic Yard,1,1,0,0,0,0
"Sun City Road: While wider than some lanes, specific busy commercial segments of Sun City Road enforce No-Parking zones to prevent parallel double-parking outside local retail shops and eateries",Sinhagad Road Traffic Division,Both,0,0,0,0,0,0,0,0,194,Sinhagad Road Traffic Yard,1,0,1,0,0,0
"Karve Road (Core Stretch): As the primary lifeline connecting Kothrud to the central city, roadside parking is strictly banned on the main thoroughfare from Deccan/Nal Stop all the way up to Karve Putla Chowk.",Kothrud Traffic Division,Odd,1,0,0,0,0,0,0,1,209,Kothrud Traffic Yard,0,0,0,0,0,1
"Paud Road (Flyover & Metro Corridor): With the high volume of traffic running along the Metro line, parking is prohibited on the main lanes of Paud Road, especially from Paud Phata to Vanaz Corner.",Kothrud Traffic Division,Even,0,0,0,0,0,0,0,1,197,Kothrud Traffic Yard,1,0,0,0,0,1
Kothrud DP Road (Rambaug Colony to Mhatre Bridge): This highly commercialized street is lined with restaurants and retail stores. Parking on the road margins outside designated bays is banned.,Kothrud Traffic Division,Both,0,0,0,0,0,0,0,1,192,Kothrud Traffic Yard,0,1,0,0,0,1
"Mayur Colony & Ideal Colony Main Roads: Due to heavy local commuting and coaching class traffic, the primary connecting avenues in these colonies maintain permanent No-Parking restrictions.",Kothrud Traffic Division,Both,0,0,0,0,0,0,0,1,189,Kothrud Traffic Yard,0,1,1,0,0,1
MIT College Road (Rambaug Colony): The stretch leading to and directly outside the MIT WPU Campus is a strict zero-tolerance zone.,Kothrud Traffic Division,Both,0,0,0,0,0,0,1,1,130,Kothrud Traffic Yard,0,1,0,0,0,1
"No vehicles are allowed to park within 50 meters of major Chowk - Nal Stop Junction (especially near the flyover ramps), Karve Putla Chowk, Chandni Chowk Approach Lanes (under the new multi-tier flyover system), Ashish Garden Chowk",Kothrud Traffic Division,Both,1,0,0,0,0,0,0,0,231,Kothrud Traffic Yard,1,0,0,1,0,0
"Many of the busy internal lanes inside Dahanukar Colony, Mahatma Society, and Bhusari Colony operate on the alternating Odd/Even date system (P1/P2).",Kothrud Traffic Division,Both,0,0,0,0,0,0,0,0,149,Kothrud Traffic Yard,1,1,0,0,0,0
Pune-Solapur Road (Core Hadapsar Stretch): Roadside parking for all private four-wheelers and two-wheelers is strictly banned on the main thoroughfare from Ravi Darshan Society / Akashwani Kendra Chowk all the way to Hadapsar Gadital (Bus Stand).,Hadapsar Traffic Division,Odd,1,1,0,0,0,0,0,1,246,Hadapsar Traffic Yard,0,1,0,0,0,1
"Hadapsar Gadital (ST & PMPML Bus Stand Perimeter): The entire circle and approach margins surrounding the Gadital flyover, the state transport bus stand, and the local PMPML terminal are high-enforcement No Halting / No Parking zones.",Hadapsar Traffic Division,Even,0,1,0,0,0,0,0,0,234,Hadapsar Traffic Yard,0,0,1,0,0,0
"Saswad Road (Gadital to Fursungi Approach): The initial stretch of Saswad Road, especially near the railway flyover bottleneck, is a strict no-parking zone",Hadapsar Traffic Division,Both,0,0,0,0,0,0,0,1,155,Hadapsar Traffic Yard,0,0,1,0,0,1
"No vehicles are allowed to park within 50 meters of major Chowk - Magarpatta Main Chowk (on the Solapur Road junction), Vaibhav Cinema Chowk (highly congested commercial retail pocket), Noble Hospital Junction (the surrounding approach roads must remain clear for emergency ambulance movement), Manjari Phata / Shewalewadi Chowk",Hadapsar Traffic Division,Both,1,0,0,0,0,0,1,0,328,Hadapsar Traffic Yard,0,0,0,1,0,0
"Ganeshkhind Road (University Road): Due to the continuous movement of VIP convoys toward the Raj Bhavan, the proximity to Savitribai Phule Pune University (SPPU), and massive Metro/flyover construction, the entire stretch from Shimla Office Chowk / Sancheti up to the University Chowk is a zero-tolerance No Parking and No Halting zone.",Chaturshringi Traffic Division,Odd,1,0,0,0,0,1,0,1,336,Chaturshringi Traffic Yard,0,0,1,0,0,1
"Baner Road (The Entire Stretch): Following systemic traffic restructuring to curb massive commercial bottlenecks, the major stretch of Baner Road (from Yashada till the Sadanand Hotel/National Highway bypass) is designated a permanent No-Parking zone.",Chaturshringi Traffic Division,Even,0,0,1,0,0,0,0,1,251,Chaturshringi Traffic Yard,0,0,1,0,0,1
Senapati Bapat (SB) Road: Parking four-wheelers on the main carriageway from Deccan Gymkhana / ICC Trade Tower margins all the way to University Circle is banned.,Chaturshringi Traffic Division,Both,0,0,0,0,0,1,0,1,162,Chaturshringi Traffic Yard,0,0,0,0,0,1
"Chaturshringi Temple Perimeter (SB Road): The immediate approach roads, exit gates, and main thoroughfare outside the historical Chaturshringi Mata Temple are strict No-Parking zones.",Chaturshringi Traffic Division,Both,0,0,0,0,0,0,1,1,183,Chaturshringi Traffic Yard,0,0,1,0,0,1
SPPU (Pune University) Main Gate & Boundary Walls: Parking or long-term halting of private vehicles and tourist cabs outside the university main gate or along the outer boundary walls on Aundh/Ganeshkhind road is completely illegal.,Chaturshringi Traffic Division,Both,0,0,0,0,0,0,0,0,232,Chaturshringi Traffic Yard,0,0,0,0,0,0
"No vehicles are allowed to park within 50 meters of major Chowk - University Chowk (SPPU Circle), Abhimanshree Society Chowk (on Pashan Road), Breman Chowk / Body Gate Chowk (Aundh), Deep Bangla Chowk (bordering Model Colony/Shivajinagar), Baner Phata Junction",Chaturshringi Traffic Division,Both,1,0,0,0,0,0,0,0,260,Chaturshringi Traffic Yard,0,1,0,1,0,0
"Pune-Ahmednagar Road (Nagar Road Spine): Roadside parking for private four-wheelers, cabs, and two-wheelers is strictly prohibited on the main lanes of Nagar Road",Yerwada Traffic Division,Odd,0,0,0,0,0,0,0,1,162,Yerwada Traffic Yard,1,1,0,0,0,1
Airport Road (Jail Road Stretch): The stretch running parallel to the high security Yerwada Central Jail boundary walls is a strict zero-tolerance No-Parking zone.,Yerwada Traffic Division,Even,0,0,0,0,0,0,0,1,163,Yerwada Traffic Yard,0,0,1,0,0,1
Golf Club Road & Loop Road: Parking on the main thoroughfare around the Poona Golf Course and the loop road connecting toward Shastri Nagar is banned,Yerwada Traffic Division,Both,0,0,0,0,0,1,0,1,149,Yerwada Traffic Yard,0,1,0,0,0,1
"No vehicles are allowed to park within 50 meters of major Chowk - Gunjan Chowk (One of the most heavily congested intersections in the zone), Shastri Nagar Chowk, Mental Hospital Corner Chowk (Alendi Road / Nagar Road junction), Golf Club Chowk",Yerwada Traffic Division,Both,1,0,0,0,0,0,1,0,244,Yerwada Traffic Yard,0,1,0,1,0,0
"D-Mart Lane & IT Park Approach Roads (Kalyani Nagar / Yerwada Border): The Yerwada traffic division has initiated aggressive enforcement drives on the lanes leading to IT centers and retail landmarks like D-Mart. Long-standing parking of tourist cabs, taxis, and employee vehicles on these roads is strictly banned",Yerwada Traffic Division,Both,0,0,0,0,0,0,0,1,314,Yerwada Traffic Yard,1,1,0,0,0,1
