Road Name,Division Name,Date Type,near_junction,near_bus_stop,near_highway,footpath_violation,both_sides_banned,immediate_tow_mention,near_landmark,zero_tolerance,description_length,Yard Name,narrow_road,residential_society,no_parking_explicit,meters_distance_mention,market_area,Towed
Perimeter of Samarth Police Station: Roadways immediately surrounding the Samarth Police Station and the adjacent administrative chowkis are reserved strictly for law enforcement and emergency response vehicles.,Samrath  Traffic Division,Both,1,0,0,0,0,0,1,1,211,Samrath  Traffic Yard,0,0,0,0,0,1
"Daruwala Pool to Apollo Cinema Road: This narrow, highly congested transit corridor connecting old Peth areas cannot accommodate static parking on either side.",Samrath  Traffic Division,Both,0,0,0,0,0,0,0,0,159,Samrath  Traffic Yard,1,0,0,0,0,0
The 15-Meter Junction Rule: Parking is strictly illegal within 15 meters of any major intersection or Chowk under Samarth jurisdiction to safeguard turn-radii for public transport and emergency vehicles.,Samrath  Traffic Division,Both,1,0,0,0,0,0,0,1,203,Samrath  Traffic Yard,0,0,0,1,0,1
"Sidewalk Infringements: Due to heavily populated residential blocks in Mangalwar and Somwar Peth, parking two-wheelers on designated pedestrian footpaths invites severe structural fines.",Samrath  Traffic Division,Both,0,0,0,1,0,0,0,0,186,Samrath  Traffic Yard,0,0,0,0,0,1
M.G. Road Cross-Junctions (Walking Plazas): The immediate intersections near central commercial zones—specifically the Tryluck Restaurant Chowk and the area leading up to Hotel Aurora Towers—are strictly clear of unauthorized or double-parked vehicles.,Lashkar Traffic Division,Odd,1,0,0,0,0,1,0,1,252,Lashkar Traffic Yard,0,0,0,0,0,1
The ISKCON Temple Perimeter: Stretches along the access ways around the local ISKCON temple and its adjacent inner lanes strictly prohibit roadside vehicle assembly to prevent regular traffic blocks.,Lashkar Traffic Division,Even,0,0,0,0,0,0,1,1,199,Lashkar Traffic Yard,1,0,0,0,0,1
"Command Hospital & Military Medical Zones: Any approach corridor or thoroughfare heading towards the core Cantonment defense zones, military hospitals, and operational emergency access lanes are strictly protected No Parking / No Halting areas.",Lashkar Traffic Division,Both,0,0,0,0,0,1,1,1,244,Lashkar Traffic Yard,1,0,1,0,0,1
Around the Lashkar Police Station / Cantonment Chowkis: The immediate parameter walls and access roads surrounding the central Lashkar Police Station and local transit chowkis are entirely reserved for official defense and emergency machinery.,Lashkar Traffic Division,Both,1,0,0,0,0,0,1,0,243,Lashkar Traffic Yard,0,0,0,0,0,0
Footpaths & Pedestrian Shopping Plazas: Parking any two-wheeler or four-wheeler onto the sidewalks of M.G. Road or East Street is heavily fined due to high footfalls.,Lashkar Traffic Division,Both,0,0,0,1,0,0,0,0,166,Lashkar Traffic Yard,0,0,0,0,0,1
"Salunke Vihar Road (Core Commercial Stretch): Roadside parking is highly restricted on the main stretches of Salunke Vihar Road, especially near major commercial clusters, food joints, and complex junctions where double-parking blocks the single lane of moving traffic.",Wanawadi  Traffic Division,Odd,1,0,0,0,0,0,0,1,269,Wanawadi  Traffic Yard,1,0,0,0,0,1
Vitthal Rao Shivarkar Road: Stretches around major retail outlets (such as the Vishal Mega Mart area) are strictly monitored. Vehicles idling or parking randomly on the curbside face immediate action.,Wanawadi  Traffic Division,Even,0,0,0,0,0,0,0,1,200,Wanawadi  Traffic Yard,0,0,0,0,0,1
"Samrat Ashok Road / Wanawadi Bazar Road: The tight, historical market streets of Wanawadi village/bazar are designated as zero-tolerance parking zones to ensure public transport buses and emergency vehicles can navigate without gridlock.",Wanawadi  Traffic Division,Both,0,0,0,0,0,0,1,1,237,Wanawadi  Traffic Yard,0,0,0,0,1,1
"Around Armed Forces Medical College (AFMC) & Command Hospital Perimeter: Because Wanawadi borders extensive military medical establishments, the main arterial corridors and boundary walls leading toward AFMC and Command Hospital gates are strictly marked as No Parking / No Halting safety zones.",Wanawadi  Traffic Division,Both,0,0,0,0,0,1,1,1,295,Wanawadi  Traffic Yard,0,0,1,0,0,1
Azadnagar Access Corridors: The narrow entry and exit lanes feeding into Azadnagar have specific parking prohibitions enforced by the traffic branch to facilitate unobstructed passage for emergency vehicles like ambulances and fire brigades.,Wanawadi  Traffic Division,Both,0,0,0,0,0,0,0,0,241,Wanawadi  Traffic Yard,1,1,0,0,0,0
SRPF (State Reserve Police Force) Group 1 & 2 External Roads: The approach roads and external perimeters immediately flanking the SRPF campuses maintain strict security-driven No Parking protocols.,Wanawadi  Traffic Division,Both,0,0,0,0,0,0,0,1,197,Wanawadi  Traffic Yard,0,0,1,0,0,1
Lullanagar Chowk to Fakhri Hills Junction (400m Stretch): Roadside parking is banned on both sides of this busy corridor.,Kondhwa  Traffic Division,Odd,1,0,0,0,1,0,0,1,121,Kondhwa  Traffic Yard,0,1,0,0,0,1
Jyoti Hotel Chowk to Fakhri Hills Junction (600m Stretch): Parking is strictly banned on one side of this heavy commercial stretch to halt double-parking from visitors frequenting nearby fast-food joints and banks.,Kondhwa  Traffic Division,Even,1,0,0,0,0,0,0,1,214,Kondhwa  Traffic Yard,0,0,0,0,0,1
"Kausar Baug Masjid Road & Food Street Stretches: Because this lane is highly popular for evening food stalls, curbside parking is heavily restricted to prevent complete gridlock during evening peak hours.",Kondhwa  Traffic Division,Both,0,0,0,0,0,0,0,1,204,Kondhwa  Traffic Yard,1,0,0,0,0,1
Mithanagar Lane & Shantai Bhaji Mandai Entry Points: The access roads near the local vegetable market hubs are designated zero-tolerance zones to keep public transit and emergency vehicles moving freely.,Kondhwa  Traffic Division,Both,0,0,0,0,0,0,1,1,203,Kondhwa  Traffic Yard,1,1,0,0,1,1
Around Kondhwa Police Station / Local Chowkis: Road networks directly flanking the central police station precinct and surrounding administrative traffic chowkis are entirely reserved for official security machinery.,Kondhwa  Traffic Division,Both,1,0,0,0,0,0,1,0,216,Kondhwa  Traffic Yard,0,0,0,0,0,0
"Sinhagad Road (Arterial Stretches): Parking is strictly prohibited on the main road shoulder near highly clogged sections, especially around Dandekar Bridge Chowk, Pan Mala, and the approach lanes to the Savarkar Flyover.",Dattawadi  Traffic Division,Odd,1,0,0,0,0,0,0,1,221,Dattawadi  Traffic Yard,1,0,0,0,0,1
Mitra Mandal Chowk to Bajaj Statue Area: The entire thoroughfare running from Jedhe Chowk/Swargate boundary down through Mitra Mandal Chowk toward the Bajaj Statue is a zero-tolerance zone for roadside parking.,Dattawadi  Traffic Division,Even,1,0,0,0,0,1,0,1,210,Dattawadi  Traffic Yard,0,0,0,0,0,1
Anand Mangal Karyalaya to Dadawadi Jain Temple Corner: This heavily traversed inner link is kept completely clear of parked vehicles to prevent local bottlenecks.,Dattawadi  Traffic Division,Both,0,0,0,0,0,0,1,0,162,Dattawadi  Traffic Yard,0,0,0,0,0,0
"Golvalkar Guruji Path (Junction Perimeters): While localized parking exists on parts of this street, parking is explicitly banned within 50 meters of Gajanan Maharaj Chowk on all four intersecting approaches.",Dattawadi  Traffic Division,Both,1,0,0,0,0,0,0,1,208,Dattawadi  Traffic Yard,0,0,0,1,0,1
Perimeter of Ramkrishna Math (Sinhagad Road): The immediate roadway facing the main gates of the Ramkrishna Math precinct is an active No Parking / No Halting zone.,Dattawadi  Traffic Division,Both,0,0,0,0,0,0,0,0,164,Dattawadi  Traffic Yard,0,0,1,0,0,0
"Parvati Hill Base & Access Steps: Due to tourist and devotee crowds, the immediate narrow access lanes and winding roads around the lower steps of Parvati Hill maintain strict security-driven parking prohibitions.",Dattawadi  Traffic Division,Both,0,0,0,0,0,0,0,1,213,Dattawadi  Traffic Yard,1,0,0,0,0,1
"Katraj Chowk Perimeter (Within 50 Meters): As one of South Pune's heaviest traffic bottlenecks, parking or halting vehicles within 50 meters of Katraj Chowk—extending towards the Katraj ST Stand, the PMPML bus depot, and the Rajiv Gandhi Zoological Park (Katraj Zoo) main gate—is strictly banned.",Bharati Vidyapeeth  Traffic Division,Odd,1,1,0,0,0,1,0,1,296,Bharati Vidyapeeth  Traffic Yard,0,0,0,1,0,1
Bharati Vidyapeeth University Main Campus Road: The thoroughfare directly outside the primary college gates (Katraj-Dehu Road Bypass side and internal link approach road) is a zero-tolerance zone for roadside parking. Vehicles idling on the main shoulder block student transit buses.,Bharati Vidyapeeth  Traffic Division,Even,0,0,0,0,0,0,1,1,283,Bharati Vidyapeeth  Traffic Yard,0,0,0,0,0,1
Katraj-Dehu Road Bypass (NH-48) Service Roads: Parking is prohibited on the service lanes near Ambegaon Budruk and the Navale Bridge stretch falling under this jurisdiction.,Bharati Vidyapeeth  Traffic Division,Odd,0,0,1,0,0,0,0,1,173,Bharati Vidyapeeth  Traffic Yard,1,0,0,0,0,1
"Around Dhankawadi Police Station & Local Chowkis: Roadways directly lining the Dhankawadi Police Station, the Bharati Vidyapeeth Police Station, and local traffic chowkis are entirely reserved for official police machinery and emergency response vehicles.",Bharati Vidyapeeth  Traffic Division,Odd,1,0,0,0,0,0,1,0,255,Bharati Vidyapeeth  Traffic Yard,0,0,0,0,0,0
Trimurti Chowk to Last Bus Stop Road (Dhankawadi): The commercial curbsides along this narrow arterial lane are highly restricted to prevent complete gridlock during afternoon and evening market hours.,Bharati Vidyapeeth  Traffic Division,Odd,1,0,0,0,0,0,1,1,201,Bharati Vidyapeeth  Traffic Yard,1,0,0,0,1,1
"Karve Road (Main Arterial Stretches): Due to the high volume of traffic and the presence of major commercial properties and institutions, roadside parking is strictly banned on both sides of Karve Road within this jurisdiction.",Alankar Traffic Division,Odd,0,0,0,0,1,0,0,1,227,Alankar Traffic Yard,0,0,0,0,0,1
Alankar Pool Road (Near Alankar Police Station): The main approach road and narrow lanes leading up to the Alankar Police Station precinct must remain entirely clear of unauthorized or stagnant public vehicles.,Alankar Traffic Division,Even,0,0,0,0,0,0,1,0,210,Alankar Traffic Yard,1,0,0,0,0,0
"Deenanath Mangeshkar Hospital Proximity: The immediate approach corridors, emergency vehicle entrance/exit gates, and peripheral boundary walls of Deenanath Mangeshkar Hospital (Erandwane) are strict No Parking / No Halting emergency zones.",Alankar Traffic Division,Odd,0,0,0,0,0,0,1,1,240,Alankar Traffic Yard,0,0,1,0,0,1
Rajaram Bridge to Karve Nagar Chowk Corridor: Roadside parking or temporary idling along this highly traveled arterial connection is strictly prohibited on both shoulders to avoid massive peak-hour spillover bottlenecks.,Alankar Traffic Division,Odd,1,0,0,0,0,0,0,1,220,Alankar Traffic Yard,0,1,0,0,0,1
Near Cummins College Road (Select Junctions): The approach areas and intersections flanking Maharshi Karve Stree Shikshan Samstha (Cummins College) and its nearby coaching hubs maintain localized zero-tolerance parking zones to safeguard pedestrian movement.,Alankar Traffic Division,Odd,1,0,0,0,0,0,1,1,258,Alankar Traffic Yard,0,0,0,0,0,1
The 15-Meter Junction Clear Rule: Parking is strictly illegal within 15 meters of any major intersecting Chowk (such as Karve Nagar Chowk or intersections near Cummins College) to preserve safe turning radii for PMPML buses.,Alankar Traffic Division,Odd,1,1,0,0,0,0,1,1,224,Alankar Traffic Yard,0,1,0,1,0,1
"Sidewalk Obstructions: Given the high density of student and senior citizen foot traffic in Karve Nagar and Erandwane, two-wheelers parked on pedestrian footpaths face instant penalties.",Alankar Traffic Division,Odd,0,0,0,1,0,0,0,0,186,Alankar Traffic Yard,0,1,0,0,0,1
"NDA Road (Main Market Stretches): Roadside parking is strictly prohibited on both shoulders along the core commercial stretch of Uttam Nagar and Shivane markets, where double-parking instantly bottlenecks commuter traffic.",Uttamnagar  Traffic Division,Odd,0,0,0,0,0,0,1,1,222,Uttamnagar  Traffic Yard,0,1,0,0,1,1
NDA Khadakwasla Police Station Perimeter: The thoroughfare directly in front of and surrounding the NDA Khadakwasla Police Station (situated near Sanjivani Hospital) is an active zero-tolerance zone reserved entirely for law enforcement and emergency vehicles.,Uttamnagar  Traffic Division,Even,0,0,0,0,0,0,1,1,260,Uttamnagar  Traffic Yard,0,0,0,0,0,1
Sanjivani Hospital Approach & Ambulance Bays: The immediate roadside area flanking Sanjivani Hospital and nearby medical clinics must remain completely unobstructed to safeguard emergency access.,Uttamnagar  Traffic Division,Odd,0,0,0,0,0,0,1,0,195,Uttamnagar  Traffic Yard,0,0,0,0,0,0
Deshmukhwadi and Ganpati Matha Chowk Intersections: No parking or heavy vehicle idling is permitted within 15 meters of these crucial junctions connecting internal village pockets to the main highway.,Uttamnagar  Traffic Division,Odd,1,0,1,0,0,0,0,0,200,Uttamnagar  Traffic Yard,0,0,1,1,0,0
Ahilyadevi Holkar Chowk: The immediate vicinity of this prominent junction is highly monitored by traffic wardens to ensure smooth turning radii for public PMPML transit buses.,Uttamnagar  Traffic Division,Odd,1,1,0,0,0,0,0,0,176,Uttamnagar  Traffic Yard,0,0,0,0,0,1
"No Heavy Vehicle Halting: Heavy commercial transport, cement mixers, and loading trucks are entirely prohibited from parking, idling, or loading/unloading on the main shoulders of NDA Road between 6:00 AM and 11:00 PM.",Uttamnagar  Traffic Division,Odd,0,0,0,0,0,0,0,1,218,Uttamnagar  Traffic Yard,0,0,0,0,0,1
"Airport Road (New Airport Terminal Core Corridors): Roadside parking, extended waiting, or staging on the main shoulders of Airport Road and the access stretches directly flanking Terminal 1 and Terminal 2 is strictly banned.",Vimantal  Traffic Division,Odd,0,0,0,0,0,0,0,1,225,Vimantal  Traffic Yard,0,0,0,0,0,1
Symbiosis International School & College Roads: The approach avenues and intersections outside Symbiosis in Viman Nagar are strictly marked as No Parking. Double-parking by private vehicles or auto-rickshaws during morning drop-off and afternoon pick-up times is heavily penalized.,Vimantal  Traffic Division,Even,1,0,0,0,0,0,1,1,281,Vimantal  Traffic Yard,0,1,1,0,0,1
Phoenix Marketcity Perimeter (Nagar Road Approach): The service road and immediate peripheral lanes directly outside Phoenix Marketcity Mall are zero-tolerance areas. Vehicles idling on the street to avoid mall parking charges are immediately towed.,Vimantal  Traffic Division,Odd,0,0,0,0,0,1,1,1,249,Vimantal  Traffic Yard,1,1,0,0,1,1
Vimantal Police Station to Sanjay Park Lanes: Road networks immediately surrounding the Vimantal Police Control Room/Chowki and the narrow corridors running through Sanjay Park must remain unobstructed for patrol vehicles and airport emergency responders.,Vimantal  Traffic Division,Odd,1,0,0,0,0,0,1,0,255,Vimantal  Traffic Yard,1,0,0,0,0,0
Datta Mandir Chowk & Ganpati Chowk Intersections: No parking or commercial loading/unloading is permitted within 15 meters of these major Viman Nagar junctions to prevent traffic bottlenecks.,Vimantal  Traffic Division,Odd,1,0,0,0,0,0,0,0,191,Vimantal  Traffic Yard,0,1,1,1,0,0
Sidewalk Infringements: Parking two-wheelers on the paved footpaths of Viman Nagar results in immediate tyre-locking and a standard municipal safety penalty.,Vimantal  Traffic Division,Odd,0,0,0,1,0,0,0,0,157,Vimantal  Traffic Yard,0,1,0,0,0,1
Bus Bays & Auto-Stands: Halting private vehicles within 15 meters of designated PMPML bus stops or authorized auto-rickshaw stands across this division is strictly illegal.,Vimantal  Traffic Division,Odd,0,1,0,0,0,0,0,1,172,Vimantal  Traffic Yard,0,0,0,1,0,1
"Vishrantwadi Chowk Intersection (50-Meter Radius): Parking, halting, or staging any private vehicle, auto-rickshaw, or private travel bus within 50 meters of the central five-arm junction is completely prohibited.",Vishrantwadi Traffic Division,Odd,1,0,0,0,0,0,0,1,213,Vishrantwadi Traffic Yard,0,0,0,1,0,1
Alandi Road (Chowk to Phule Nagar Stretch): The main roadside shoulders of Alandi Road are strict zero-tolerance zones. This is highly monitored due to high-frequency PMPML transit bus routes moving towards northern suburbs.,Vishrantwadi Traffic Division,Even,1,1,0,0,0,1,0,1,224,Vishrantwadi Traffic Yard,0,1,0,0,0,1
"Tingre Nagar Road (Main Approach): Roadside parking is banned on both sides of the main avenue heading from Vishrantwadi Chowk toward Tingre Nagar, especially near commercial commercial blocks where double-parking instantly blocks traffic.",Vishrantwadi Traffic Division,Odd,1,0,0,0,1,1,0,1,239,Vishrantwadi Traffic Yard,0,1,0,0,0,1
Dhanori Road Corner & Slopes: The initial bottleneck stretch where the road ascends from the junction toward Dhanori is designated as a strict clear zone.,Vishrantwadi Traffic Division,Odd,1,0,0,0,0,1,0,1,154,Vishrantwadi Traffic Yard,0,0,0,0,0,1
Perimeter of Vishrantwadi Police Station & Chowki: The roadways and access paths directly flanking the local police station and traffic administration hub are strictly reserved for official emergency machinery.,Vishrantwadi Traffic Division,Odd,1,0,0,0,0,0,1,1,210,Vishrantwadi Traffic Yard,0,0,0,0,0,1
Bus Stops & Public Transport Transit Bays: Parking private vehicles within 15 meters of designated PMPML bus shelters across Alandi Road or Dhanori Road is heavily penalized by on-duty traffic wardens.,Vishrantwadi Traffic Division,Odd,0,1,0,0,0,0,0,0,201,Vishrantwadi Traffic Yard,0,0,0,1,0,0
Flyover Approach Ramps: Halting or parking a vehicle anywhere near the start or exit ramps of the Vishrantwadi flyover network is strictly forbidden.,Vishrantwadi Traffic Division,Odd,0,0,0,0,0,0,0,1,149,Vishrantwadi Traffic Yard,0,0,0,0,0,1
Elphinstone Road (Main Arterial Stretch): Roadside parking or temporary staging is completely banned on both sides of this major avenue. This restriction ensures that military convoys and emergency hospital transit remain entirely unobstructed.,Khadki  Traffic Division,Odd,0,0,0,0,1,0,1,1,244,Khadki  Traffic Yard,0,0,0,0,0,1
Khadki Bazaar Core Market Roads: The internal narrow pathways running through Khadki Bazaar are zero-tolerance zones. Double-parking by commercial transport vehicles or shoppers here is heavily targeted during peak afternoon and evening trade hours.,Khadki  Traffic Division,Even,0,0,0,0,0,0,1,1,249,Khadki  Traffic Yard,1,0,0,0,1,1
"Around Khadki Railway Station Access Roads: The immediate station approach lines, pick-up terminals, and peripheral walls must be kept clear of unauthorized parking to avoid blocking local PMPML bus routes and commuter drop-offs.",Khadki  Traffic Division,Odd,0,1,0,0,0,0,1,0,229,Khadki  Traffic Yard,0,0,0,0,0,0
"Aundh Road - Khadki Cantonment Stretches: Roadside parking is highly restricted on the main shoulders of Aundh Road falling within KCB limits, especially near dense residential societies and schools (such as near St. Thomas Public School layouts).",Khadki  Traffic Division,Odd,0,0,0,0,0,0,1,1,247,Khadki  Traffic Yard,0,0,0,0,0,1
"Perimeter of Ammunition Factory & Military Gates: The entire peripheral roadway flanking the Khadki Ammunition Factory walls, defense depots, and operational camp gates are designated secure No Parking / No Halting areas.",Khadki  Traffic Division,Odd,0,0,0,0,0,0,0,0,221,Khadki  Traffic Yard,0,0,1,0,0,0
Near Khadki Police Station & Traffic Chowki: Road networks immediately surrounding the Khadki Police Station and local transit chowkis are explicitly reserved for law enforcement machinery.,Khadki  Traffic Division,Odd,1,0,0,0,0,0,1,0,189,Khadki  Traffic Yard,0,0,0,0,0,0
"Sidewalk Obstructions: Following strict Cantonment civic rules, parking any two-wheeler or four-wheeler on pedestrian footpaths across Khadki invites rapid towing and additional administrative penalties.",Khadki  Traffic Division,Odd,0,0,0,1,0,1,0,1,203,Khadki  Traffic Yard,0,0,0,0,0,1
Bus Stops & Public Transport Transit Bays: Halting private vehicles within 20 meters prior to and 15 meters after designated PMPML bus shelters is strictly prohibited to guarantee unobstructed public transit maneuvers.,Khadki  Traffic Division,Odd,0,1,0,0,0,0,0,1,218,Khadki  Traffic Yard,0,0,0,1,0,1
"Bhosale Nagar Main Road (Select Stretches): To prevent morning and evening transit blocks, roadside parking is strictly restricted on the main spine of Bhosale Nagar, especially at the entry-exit necks that interface with Ganeshkhind Road.",Chaturshringi (Bhosale Nagar)  Traffic Division,Odd,0,0,0,0,0,0,0,1,239,Chaturshringi (Bhosale Nagar)  Traffic Yard,0,1,0,0,0,1
"Ganeshkhind Road (E-Square to University Flyover): Due to ongoing infrastructure projects, flyovers, and metro construction routes, the entire main road shoulder on both sides is a absolute No Parking / No Halting zone.",Chaturshringi (Bhosale Nagar)  Traffic Division,Even,0,0,0,0,1,0,0,0,219,Chaturshringi (Bhosale Nagar)  Traffic Yard,0,0,1,0,0,0
"Senapati Bapat (SB) Road (Commercial Frontages): Parking parallel to the main road outside major commercial centers like the ICC Trade Tower, Pavilion Mall perimeter, and corporate offices is heavily restricted.",Chaturshringi (Bhosale Nagar)  Traffic Division,Odd,0,0,0,0,0,1,1,1,211,Chaturshringi (Bhosale Nagar)  Traffic Yard,0,0,0,0,1,1
"University (SPPU) Circle Boundary: Staging or parking private buses, tourist vehicles, or private vehicles within 50 meters of the central University Circle junction is strictly prohibited.",Chaturshringi (Bhosale Nagar)  Traffic Division,Odd,1,0,0,0,0,0,0,1,189,Chaturshringi (Bhosale Nagar)  Traffic Yard,0,0,0,1,0,1
Perimeter of Chaturshringi Police Station & Raj Bhavan: The approach paths directly flanking the Chaturshringi Police Station (opposite Raj Bhavan gates) and the immediate administrative chowkis are reserved entirely for law enforcement and official security machinery.,Chaturshringi (Bhosale Nagar)  Traffic Division,Odd,1,0,0,0,0,0,1,0,269,Chaturshringi (Bhosale Nagar)  Traffic Yard,0,0,0,0,0,0
The 15-Meter Junction Intersection Rule: Parking is strictly illegal within 15 meters of any key intersection (such as the crossroads connecting Bhosale Nagar to Range Hills or deep Erandwane links) to safeguard turning clearances for local municipal PMPML transit buses.,Chaturshringi (Bhosale Nagar)  Traffic Division,Odd,1,1,0,0,0,0,0,1,271,Chaturshringi (Bhosale Nagar)  Traffic Yard,0,1,0,1,0,1
